,First_character,Second_character,Shared_time
0,Billy Butcher,Hughie Campbell,1043.0
2,Mother’s Milk,Hughie Campbell,832.0
4,Billy Butcher,Mother’s Milk,811.0
6,Mother’s Milk,Frenchie,792.0
8,Frenchie,The Female,735.0
10,Frenchie,Hughie Campbell,711.0
12,Hughie Campbell,Starlight,696.0
14,Frenchie,Billy Butcher,654.0
16,Mother’s Milk,The Female,566.0
18,The Female,Hughie Campbell,415.0
20,The Female,Billy Butcher,361.0
22,Starlight,Mother’s Milk,333.0
24,Homelander,Starlight,329.0
26,Homelander,Queen Maeve,291.0
28,Ashley Barrett,Homelander,261.0
30,Stormfront,Homelander,253.0
32,Starlight,Ashley Barrett,251.0
34,Billy Butcher,Starlight,242.0
36,Queen Maeve,Starlight,230.0
38,Homelander,Billy Butcher,229.0
40,Homelander,Madelyn Stillwell,208.0
42,Frenchie,Starlight,201.0
44,Homelander,Ryan,191.0
46,Hughie Campbell,A-Train,184.0
48,Starlight,A-Train,184.0
50,Homelander,Hughie Campbell,183.0
52,Starlight,The Female,173.0
54,Stormfront,Starlight,152.0
56,Billy Butcher,Grace Mallory,146.0
58,Ashley Barrett,A-Train,144.0
60,Becca Butcher,Billy Butcher,144.0
62,Homelander,A-Train,139.0
64,Homelander,Black Noir,138.0
66,Homelander,Becca Butcher,136.0
68,Billy Butcher,Ryan,135.0
70,Starlight,Donna January,134.0
72,Homelander,The Deep,133.0
74,Ryan,Becca Butcher,128.0
76,Starlight,Black Noir,124.0
78,Soldier Boy,Billy Butcher,124.0
80,A-Train,Frenchie,124.0
82,Black Noir,Queen Maeve,124.0
84,Mother’s Milk,A-Train,119.0
86,Billy Butcher,A-Train,118.0
88,Starlight,The Deep,118.0
90,Queen Maeve,Ashley Barrett,110.0
92,Hughie Campbell,Queen Maeve,108.0
94,Popclaw,Billy Butcher,107.0
96,Popclaw,Frenchie,106.0
98,Popclaw,Mother’s Milk,105.0
100,Hughie Campbell,Popclaw,105.0
102,Stan Edgar,Homelander,102.0
104,A-Train,Nathan,101.0
106,Queen Maeve,Billy Butcher,101.0
108,Frenchie,Homelander,98.0
110,Grace Mallory,Mother’s Milk,97.0
112,Cherie,Frenchie,95.0
114,A-Train,Queen Maeve,94.0
116,The Female,Kenji Miyashiro,94.0
117,Soldier Boy,Hughie Campbell,94.0
120,Black Noir,A-Train,92.0
122,Popclaw,A-Train,91.0
124,Ashley Barrett,Stormfront,91.0
126,The Deep,Ashley Barrett,90.0
128,Queen Maeve,Stormfront,88.0
130,Grace Mallory,Hughie Campbell,88.0
132,Nurse,Mother’s Milk,87.0
134,Ashley Barrett,Hughie Campbell,84.0
136,A-Train,The Deep,83.0
138,Mother’s Milk,Homelander,83.0
140,Starlight,Supersonic,83.0
142,Ryan,Stormfront,82.0
144,Nurse,Frenchie,81.0
146,Billy Butcher,Translucent,81.0
148,Black Noir,Ashley Barrett,78.0
150,Translucent,Hughie Campbell,76.0
152,Hughie Campbell,Black Noir,76.0
154,Nurse,The Female,74.0
156,The Deep,Cassandra,73.0
158,Hughie Campbell,Shockwave,73.0
160,Ashley Barrett,Madelyn Stillwell,72.0
162,Shockwave,Mother’s Milk,72.0
164,Hugh Campbell,Hughie Campbell,71.0
166,Stormfront,The Female,71.0
168,Frenchie,Shockwave,70.0
170,Homelander,Victoria Neuman,69.0
172,Stan Edgar,Starlight,68.0
174,Queen Maeve,Elena,68.0
176,Shockwave,A-Train,65.0
178,Ezekiel,Hughie Campbell,63.0
180,Frenchie,Kenji Miyashiro,62.0
182,Billy Butcher,Stormfront,61.0
184,Black Noir,Mother’s Milk,61.0
186,Hughie Campbell,Victoria Neuman,60.0
188,Donna January,Ashley Barrett,60.0
190,Supersonic,Homelander,59.0
192,Shockwave,Billy Butcher,58.0
194,Becca Butcher,Stormfront,56.0
195,Mother’s Milk,Queen Maeve,56.0
198,Judy Atkinson,Billy Butcher,56.0
200,Hughie Campbell,Donna January,55.0
202,Black Noir,Billy Butcher,55.0
204,Madelyn Stillwell,Starlight,55.0
206,Popclaw,Shockwave,53.0
208,Frenchie,Stormfront,52.0
210,Queen Maeve,The Deep,52.0
212,Nathan,Starlight,52.0
214,Frenchie,Translucent,51.0
216,Frenchie,Grace Mallory,50.0
218,Kenji Miyashiro,Billy Butcher,50.0
220,Billy Butcher,Ashley Barrett,50.0
222,Homelander,Ezekiel,50.0
224,Nathan,Hughie Campbell,50.0
226,Homelander,The Female,49.0
228,Hughie Campbell,Kenji Miyashiro,49.0
230,Kenji Miyashiro,Mother’s Milk,49.0
232,Stormfront,Black Noir,48.0
234,Stormfront,Hughie Campbell,48.0
236,Judy Atkinson,Hughie Campbell,48.0
238,Judy Atkinson,Mother’s Milk,48.0
240,Translucent,Homelander,47.0
242,Homelander,Nathan,47.0
244,Stormfront,Mother’s Milk,46.0
246,A-Train,Stormfront,46.0
248,Black Noir,Stan Edgar,46.0
250,Ashley Barrett,Stan Edgar,46.0
252,Madelyn Stillwell,The Deep,46.0
254,Susan Raynor,Billy Butcher,45.0
256,Also Ashley,Ashley Barrett,45.0
258,Billy Butcher,Madelyn Stillwell,45.0
260,Ryan,The Female,44.0
262,Frenchie,Queen Maeve,44.0
264,Black Noir,Nathan,44.0
266,Hughie Campbell,Nurse,44.0
268,Soldier Boy,Homelander,43.0
270,Nathan,Queen Maeve,42.0
272,A-Train,The Female,42.0
274,Queen Maeve,Madelyn Stillwell,42.0
276,Janine,Mother’s Milk,42.0
278,Frenchie,Becca Butcher,41.0
280,Starlight,Victoria Neuman,41.0
282,Seth Reed,Ashley Barrett,41.0
284,Starlight,Ezekiel,41.0
286,Becca Butcher,The Female,41.0
288,Becca Butcher,Mother’s Milk,40.0
290,The Deep,Black Noir,40.0
292,Ryan,Mother’s Milk,40.0
294,Seth Reed,Evan Lambert,40.0
296,Cassandra,Homelander,39.0
298,Soldier Boy,Mother’s Milk,39.0
300,Mother’s Milk,Ashley Barrett,39.0
302,Mesmer,Mother’s Milk,39.0
304,Little Nina,Frenchie,39.0
306,Hughie Campbell,Female News Anchor,39.0
308,Stan Edgar,Victoria Neuman,39.0
310,Hugh Campbell,Frenchie,37.0
312,Black Noir,Shockwave,36.0
314,Hughie Campbell,Cherie,35.0
316,Stan Edgar,Queen Maeve,35.0
318,Hughie Campbell,The Deep,35.0
320,Grace Mallory,The Female,33.0
322,Aleksy Lutz,Mother’s Milk,33.0
323,Aleksy Lutz,Frenchie,33.0
324,Ashley Barrett,Cassandra,33.0
325,Gary,Hughie Campbell,33.0
326,Hughie Campbell,Aleksy Lutz,33.0
327,Billy Butcher,Aleksy Lutz,33.0
329,Aleksy Lutz,Popclaw,33.0
336,Ryan,Grace Mallory,33.0
338,Black Noir,Frenchie,33.0
340,Evan Lambert,Ashley Barrett,32.0
342,Ashley Barrett,Ezekiel,32.0
344,Robin,Hughie Campbell,31.0
346,Crimson Countess,Soldier Boy,31.0
348,Billy Butcher,Jonah Vogelbaum,30.0
349,The Legend,Hughie Campbell,30.0
352,Donna January,Ezekiel,30.0
354,Nathan,Frenchie,30.0
355,Nathan,Shockwave,30.0
358,Billy Butcher,Nathan,30.0
360,Hugh Campbell,Billy Butcher,30.0
362,Jonah Vogelbaum,Homelander,30.0
364,Donna January,Madelyn Stillwell,30.0
366,Queen Maeve,The Female,30.0
368,The Female,Cherie,30.0
370,Starlight,Gecko,29.0
371,Shockwave,Starlight,29.0
372,A-Train,Supersonic,29.0
376,Gunpowder,Billy Butcher,29.0
378,Hughie Campbell,Supersonic,29.0
380,Eagle the Archer,The Deep,29.0
382,Nathan,Mother’s Milk,29.0
384,Cherie,Billy Butcher,29.0
386,Shockwave,Homelander,29.0
388,Also Ashley,Starlight,28.0
389,Starlight,Pastor John,28.0
392,Ashley Barrett,Pastor John,28.0
394,Nathan,Popclaw,28.0
395,Ryan,Frenchie,28.0
398,Also Ashley,Homelander,28.0
400,Ashley Barrett,Victoria Neuman,28.0
402,Mother’s Milk,Hugh Campbell,27.0
404,The Deep,Carol,27.0
406,Pastor John,Donna January,27.0
408,Filipino Guy,Frenchie,27.0
410,Female News Anchor,Queen Maeve,27.0
412,Filipino Guy,Hughie Campbell,27.0
414,Billy Butcher,Filipino Guy,26.0
416,A-Train,Hugh Campbell,26.0
418,Popclaw,Starlight,26.0
420,Stormfront,Kenji Miyashiro,26.0
422,A-Train,Stan Edgar,25.0
424,Frenchie,Ashley Barrett,25.0
425,Doug Friedman,Hughie Campbell,25.0
428,Connie Butcher,Billy Butcher,25.0
430,Supersonic,The Deep,25.0
431,Mesmer,Billy Butcher,25.0
432,Sonia,Billy Butcher,25.0
436,The Female,Soldier Boy,25.0
438,Queen Maeve,Ryan,24.0
440,Black Noir,Madelyn Stillwell,24.0
442,Filipino Guy,Mother’s Milk,24.0
444,Starlight,Silver Kincaid,24.0
445,Ashley Barrett,Supersonic,24.0
448,A-Train,Blue Hawk,24.0
450,Black Noir,Judy Atkinson,24.0
452,The Legend,Billy Butcher,24.0
454,Female News Anchor,Starlight,24.0
455,Jonah Vogelbaum,Sonia,24.0
458,Victoria Neuman,Grace Mallory,24.0
459,Nurse,Grace Mallory,24.0
460,Madelyn Stillwell,Ezekiel,24.0
464,Stormfront,Stan Edgar,24.0
466,Queen Maeve,Adam Bourke,23.0
468,Soldier Boy,Queen Maeve,23.0
470,Popclaw,Homelander,23.0
472,Alastair Adana,The Deep,23.0
474,Monique,Mother’s Milk,23.0
476,A-Train,Alastair Adana,23.0
478,Starlight,Seth Reed,23.0
480,Starlight,Evan Lambert,22.0
482,Buster Beaver,Black Noir,22.0
484,Donna January,Mother’s Milk,22.0
486,The Female,Mesmer,22.0
488,Susan Raynor,Mother’s Milk,22.0
490,Becca Butcher,Madelyn Stillwell,22.0
491,Ashley Barrett,Shockwave,22.0
494,Doug Friedman,Ashley Barrett,22.0
498,Billy Butcher,Nurse,22.0
500,Mesmer,Frenchie,21.0
502,Doug Friedman,A-Train,21.0
503,Translucent,Queen Maeve,21.0
506,Pastor John,Ezekiel,21.0
507,Susan Raynor,Frenchie,21.0
509,Tall Terrorist,Heavy Terrorist,21.0
510,The Deep,Translucent,21.0
514,Silver Kincaid,Moonshadow,21.0
516,Emotional Donor,Homelander,21.0
517,Emotional Donor,Hughie Campbell,21.0
520,Tall Terrorist,Clean Cut Terrorist,21.0
521,Heavy Terrorist,Clean Cut Terrorist,21.0
522,Hughie Campbell,Susan Raynor,21.0
526,Clean Cut Terrorist,Cute Little Girl,21.0
527,Heavy Terrorist,Cute Little Girl,21.0
528,Cute Little Girl,Sweet Mom,21.0
530,Tall Terrorist,Sweet Mom,21.0
532,Cute Little Girl,Tall Terrorist,21.0
534,Heavy Terrorist,Sweet Mom,21.0
535,Ezekiel,Emotional Donor,21.0
538,Clean Cut Terrorist,Sweet Mom,21.0
542,Stan Edgar,Secretary of Defense Robert A. Singer,21.0
544,Supersonic,Silver Kincaid,21.0
545,Donna January,Billy Butcher,21.0
548,Supersonic,Moonshadow,21.0
550,Billy Butcher,The Deep,21.0
552,Starlight,Soldier Boy,21.0
554,Also Ashley,A-Train,21.0
556,Starlight,Valerie,20.0
557,Hughie Campbell,Valerie,20.0
558,Mother’s Milk,Valerie,20.0
559,Translucent,Cherie,20.0
564,Black Noir,Popclaw,20.0
566,Nurse,Stormfront,20.0
568,Starlight,Translucent,20.0
570,A-Train,Aleksy Lutz,20.0
572,Cute Little Girl,Queen Maeve,20.0
573,Tall Terrorist,Queen Maeve,20.0
574,Clean Cut Terrorist,Queen Maeve,20.0
575,Heavy Terrorist,Queen Maeve,20.0
576,Sweet Mom,Queen Maeve,20.0
582,Janine,Monique,20.0
586,Nurse,Cindy,20.0
587,Frenchie,Cindy,20.0
588,Mother’s Milk,Cindy,20.0
590,Cindy,The Female,20.0
594,X-Ray Tech,Billy Butcher,19.0
595,Supe Gospel Singer,Starlight,19.0
596,X-Ray Tech,Hughie Campbell,19.0
597,Donna January,The Deep,19.0
602,Hughie Campbell,Supe Gospel Singer,19.0
603,Senator Calhoun,Madelyn Stillwell,19.0
605,Black Noir,Seth Rogen,19.0
608,Seth Rogen,Mother’s Milk,19.0
610,Todd,Janine,19.0
612,Also Ashley,Seth Reed,19.0
614,Sweet Mom,Homelander,19.0
615,Eagle the Archer,Carol,19.0
616,Tall Terrorist,Homelander,19.0
618,Cute Little Girl,Homelander,19.0
619,Clean Cut Terrorist,Homelander,19.0
620,Seth Reed,Madelyn Stillwell,19.0
623,Heavy Terrorist,Homelander,19.0
628,Moonshadow,Starlight,19.0
629,Madelyn Stillwell,Evan Lambert,19.0
632,Hughie Campbell,Monique,19.0
634,Monique,Hugh Campbell,19.0
635,Queen Maeve,Popclaw,19.0
638,Shockwave,Queen Maeve,19.0
640,Frenchie,Monique,19.0
642,Soldier Boy,Ryan,19.0
644,Homelander,Grace Mallory,19.0
646,Billy Butcher,Doug Friedman,19.0
647,Black Noir,Young Mesmer,19.0
648,Young Mesmer,Seth Rogen,19.0
650,Stan Edgar,Billy Butcher,19.0
654,Hughie Campbell,Random dude,19.0
656,Robin,Starlight,18.0
657,Sam,Billy Butcher,18.0
660,Translucent,A-Train,18.0
661,Tessa,Tommy,18.0
664,Soldier Boy,Frenchie,18.0
666,Billy Zane,Black Noir,18.0
668,Janine,Hugh Campbell,18.0
669,Hughie Campbell,Janine,18.0
670,Frenchie,Janine,18.0
671,Mother’s Milk,The Legend,18.0
676,Ashley Barrett,Adam Bourke,18.0
678,Mindstorm,Hughie Campbell,18.0
679,Mother’s Milk,Todd,18.0
682,Seth Rogen,Mesmer,18.0
683,Young Mesmer,Mesmer,18.0
684,Frenchie,Victoria Neuman,18.0
686,Mesmer,Black Noir,18.0
690,Translucent,Madelyn Stillwell,18.0
692,Monique,Billy Butcher,18.0
694,Homelander,Cherie,17.0
695,Shockwave,ESPN Interviewer,17.0
698,Adam Bourke,Stormfront,17.0
700,Supersonic,Stan Edgar,17.0
701,Sam Butcher,Billy Butcher,17.0
704,A-Train,Madelyn Stillwell,17.0
705,Victoria Neuman,The Female,17.0
708,Mother’s Milk,Vought News Host,17.0
709,Translucent,Gary,17.0
711,Frenchie,Vought News Host,17.0
712,Starlight,Vought News Host,17.0
713,Nathan,Vought News Host,17.0
714,Hughie Campbell,Vought News Host,17.0
715,Queen Maeve,Vought News Host,17.0
716,Black Noir,Vought News Host,17.0
717,Popclaw,Vought News Host,17.0
718,Shockwave,Vought News Host,17.0
719,Seth Rogen,Billy Zane,17.0
720,Homelander,Vought News Host,17.0
722,Billy Zane,Mesmer,17.0
723,A-Train,Vought News Host,17.0
728,Billy Butcher,Vought News Host,17.0
734,Billy Zane,Young Mesmer,17.0
740,Janine,Billy Butcher,17.0
742,Victoria Neuman,Mother’s Milk,17.0
744,Jonah Vogelbaum,Grace Mallory,17.0
746,Jonah Vogelbaum,Mother’s Milk,17.0
747,Homelander,Kenji Miyashiro,17.0
750,The Female,Hugh Campbell,17.0
752,Young Mesmer,Mother’s Milk,17.0
753,Billy Zane,Mother’s Milk,17.0
754,Stormfront,The Deep,17.0
758,Supersonic,Also Ashley,17.0
760,Aleksy Lutz,Shockwave,17.0
762,Starlight,Adam Bourke,17.0
764,Production Assistant,Stormfront,17.0
766,Seth Rogen,Shockwave,17.0
767,Shockwave,Young Mesmer,17.0
769,Billy Zane,Shockwave,17.0
770,Mesmer,Shockwave,17.0
774,Cute Little Girl,Flight Attendant,16.0
775,Flight Attendant,Homelander,16.0
776,Queen Maeve,Flight Attendant,16.0
777,Mesmer,Hughie Campbell,16.0
778,Clean Cut Terrorist,Flight Attendant,16.0
779,Frenchie,Yevgenny,16.0
780,Sweet Mom,Flight Attendant,16.0
782,Tall Terrorist,Flight Attendant,16.0
785,Starlight,Production Assistant,16.0
786,Heavy Terrorist,Flight Attendant,16.0
794,The Deep,Gills,16.0
796,Hughie Campbell,Madelyn Stillwell,16.0
797,Mesmer,Tara Reid,16.0
799,Young Mesmer,Tara Reid,16.0
800,Tara Reid,Shockwave,16.0
802,Tara Reid,Mother’s Milk,16.0
803,Billy Zane,Tara Reid,16.0
805,Female News Anchor,Homelander,16.0
808,Tara Reid,Seth Rogen,16.0
810,Tara Reid,Black Noir,16.0
814,Homelander,Cameron Coleman,16.0
816,Soldier Boy,Young Black Noir,16.0
818,Supe Gospel Singer,Mother’s Milk,16.0
819,Billy Butcher,Supe Gospel Singer,16.0
822,Mindstorm,Billy Butcher,16.0
824,Ezekiel,Billy Butcher,16.0
826,Homelander,Donna January,16.0
827,Young Stan Edgar,Young Grace,16.0
830,Victoria Neuman,Queen Maeve,16.0
832,Soldier Boy,Tessa,16.0
833,Random dude,Victoria Neuman,16.0
834,Ashley Barrett,Translucent,16.0
838,Becca Butcher,Queen Maeve,16.0
840,Deeaygo,Mother’s Milk,16.0
841,Oslo,Deeaygo,16.0
842,Oslo,Mother’s Milk,16.0
846,Secretary of Defense Robert A. Singer,Victoria Neuman,15.0
847,Cockpit Terrorist,Flight Attendant,15.0
848,Cockpit Terrorist,Homelander,15.0
849,Cockpit Terrorist,Heavy Terrorist,15.0
850,Cute Little Girl,Cockpit Terrorist,15.0
851,Nathan,Ashley Barrett,15.0
853,Tall Terrorist,Cockpit Terrorist,15.0
855,Queen Maeve,Cockpit Terrorist,15.0
857,Sweet Mom,Cockpit Terrorist,15.0
859,Clean Cut Terrorist,Cockpit Terrorist,15.0
861,Ashley Barrett,Popclaw,15.0
868,Ashley Barrett,Vought News Host,15.0
870,Pastor John,Madelyn Stillwell,15.0
872,A-Train,Girl,15.0
873,Black Noir,Girl,15.0
874,Homelander,Girl,15.0
875,Queen Maeve,Girl,15.0
877,Mother’s Milk,Girl,15.0
878,Girl,Vought News Host,15.0
881,Girl,Nathan,15.0
882,Frenchie,Girl,15.0
883,Ashley Barrett,Girl,15.0
884,Popclaw,Girl,15.0
885,Starlight,Girl,15.0
887,Shockwave,Girl,15.0
889,Billy Butcher,Girl,15.0
894,Hughie Campbell,Girl,15.0
900,Guy,Shockwave,15.0
901,Guy,Mother’s Milk,15.0
902,Guy,Billy Zane,15.0
904,Guy,Mesmer,15.0
905,Guy,Black Noir,15.0
906,Guy,Young Mesmer,15.0
907,Zoe,Victoria Neuman,15.0
909,Guy,Seth Rogen,15.0
913,Guy,Tara Reid,15.0
918,X-Ray Tech,Ashley Barrett,15.0
919,Doug Friedman,X-Ray Tech,15.0
922,Sheila,Billy Butcher,15.0
923,Guy,Jersey Girl,15.0
924,Jersey Girl,Black Noir,15.0
925,Tara Reid,Jersey Girl,15.0
926,Tara Reid,Photographer,15.0
927,Photographer,Seth Rogen,15.0
928,Jersey Girl,Seth Rogen,15.0
929,Young Mesmer,Photographer,15.0
931,Hughie Campbell,Sheila,15.0
932,Young Mesmer,Jersey Girl,15.0
933,Photographer,Jersey Girl,15.0
934,Photographer,Shockwave,15.0
936,Shockwave,Jersey Girl,15.0
937,Mesmer,Jersey Girl,15.0
938,Mesmer,Photographer,15.0
940,Photographer,Mother’s Milk,15.0
941,Photographer,Black Noir,15.0
942,Photographer,Billy Zane,15.0
943,Guy,Photographer,15.0
944,Jersey Girl,Mother’s Milk,15.0
950,Hughie Campbell,Security Guard,15.0
952,Mother’s Milk,Security Guard,15.0
956,Frenchie,Security Guard,15.0
958,Jersey Girl,Billy Zane,15.0
961,Stormfront,Security Guard,15.0
962,Security Guard,Billy Butcher,15.0
963,The Female,Security Guard,15.0
970,Starlight,Security Guard,15.0
971,Filipino Guy,Popclaw,15.0
980,Donna January,Supe Gospel Singer,15.0
982,A-Train,X-Ray Tech,15.0
984,Hughie Campbell,ESPN Interviewer,15.0
985,Seth Reed,Sheila,15.0
986,Seth Reed,Hughie Campbell,15.0
989,Seth Reed,Billy Butcher,15.0
992,Termite,Frenchie,15.0
993,ESPN Interviewer,Frenchie,15.0
996,Hughie Campbell,Ryan,15.0
998,Kenji Miyashiro,Starlight,15.0
1000,Sam Butcher,Connie Butcher,14.0
1001,Also Ashley,Stan Edgar,14.0
1004,Queen Maeve,Ruby,14.0
1005,Becca Butcher,Jonah Vogelbaum,14.0
1006,Queen Maeve,Self,14.0
1008,Self,Homelander,14.0
1012,Blue Hawk,Nathan,14.0
1013,Moe,The Female,14.0
1014,Yevgenny,Little Nina,14.0
1018,Madelyn Stillwell,Jonah Vogelbaum,14.0
1019,Mother’s Milk,Ezekiel,14.0
1022,Victoria Neuman,Billy Butcher,14.0
1024,Heckling Fan,Girl,14.0
1025,Heckling Fan,Frenchie,14.0
1026,Heckling Fan,Shockwave,14.0
1027,Popclaw,Heckling Fan,14.0
1028,Heckling Fan,A-Train,14.0
1030,Mother’s Milk,Heckling Fan,14.0
1031,Homelander,Heckling Fan,14.0
1032,Starlight,Heckling Fan,14.0
