,First_character,Second_character,Shared_time
2069,The Female's Brother (17),Hughie Campbell,5.0
2070,Mesmer,The Female's Brother (17),5.0
2076,The Female's Brother (17),The Female's Brother (7),5.0
2078,The Female's Brother (17),Frenchie,5.0
2079,Madelyn Stillwell,Stan Edgar,5.0
2084,Teddy,Vanessa,5.0
2086,Teddy,Teddy,5.0
2088,Teddy,Teacher,5.0
2089,Hughie Campbell,Teddy,5.0
2091,Stan Edgar,Rafiq,5.0
2093,Cassandra,Alastair Adana,5.0
2095,Homelander,Production Assistant,5.0
2098,Secretary of Defense Robert A. Singer,Rafiq,5.0
2103,Naqib,Rafiq,5.0
2105,Rafiq,Doug Friedman,5.0
2110,Victoria Neuman,Soldier,5.0
2111,Queen Maeve,Benjy,5.0
2112,Ashley Barrett,Soldier,5.0
2114,Soldier,Homelander,5.0
2115,Security Guard,A-Train,5.0
2116,Jamie,Queen Maeve,5.0
2118,Christopher Lennertz,The Deep,5.0
2124,Young Stan Edgar,Soldier Boy,5.0
2126,Young Gunpowder,Swatto,5.0
2128,Jay,Nurse,5.0
2129,Jay,The Female,5.0
2130,Mother’s Milk,Jay,5.0
2131,Tessa,Swatto,5.0
2136,Nathan,Courtenay,5.0
2138,Ashley Barrett,Pat Willis,5.0
2139,Deanna,Margaret,5.0
2140,Bill Marsh,Pat Willis,5.0
2141,Homelander,Pat Willis,5.0
2142,Ashley Barrett,Jill the Executive,5.0
2144,Ashley Barrett,Margaret,5.0
2146,Deanna,Jill the Executive,5.0
2152,Ashley Barrett,Chelsea,5.0
2153,Soldier Boy,Young Gunpowder,5.0
2154,Judy Atkinson,Stan Edgar,5.0
2155,Also Ashley,Chelsea,5.0
2156,Stan Edgar,Mother’s Milk,5.0
2157,Doppelganger,Senator Calhoun,5.0
2158,Alastair Adana,Victoria Neuman,5.0
2166,Ashley Barrett,Hair Stylist,4.0
2167,Headmaster,Young Lenny,4.0
2169,Anika,Homelander,4.0
2170,Heckler,Hughie Campbell,4.0
2174,VNN Interviewer,Homelander,4.0
2175,VNN Interviewer,Starlight,4.0
2178,Operations Agent,Naqib,4.0
2180,Naqib,Susan Raynor,4.0
2181,Starlight,Self,4.0
2182,Vladislav,The Female,4.0
2183,Margaret,Homelander,4.0
2184,Jill the Executive,Homelander,4.0
2186,Mindstorm,Swatto,4.0
2190,The Female,Victor,4.0
2196,Desean,Dana Whitmyre,4.0
2197,Arana,Dana Whitmyre,4.0
2198,Security Guard,Nurse,4.0
2199,Khamari,Dana Whitmyre,4.0
2202,Dana Whitmyre,A-Train,4.0
2203,Dana Whitmyre,Nathan,4.0
2204,Tim,Nurse,4.0
2210,Assistant,Victoria Neuman,4.0
2213,Ashley Barrett,Hailey Miller,4.0
2216,Todd,Hughie Campbell,4.0
2217,Stan Edgar,Todd,4.0
2218,Also Ashley,Todd,4.0
2219,Todd,A-Train,4.0
2221,Termite,The Female,4.0
2224,Frenchie,Scientist,4.0
2225,Supersonic,Todd,4.0
2230,Todd,Heckler,4.0
2231,Todd,Starlight,4.0
2234,A-Train,AAW Leader,4.0
2235,Ivy,Hughie Campbell,4.0
2238,Hughie Campbell,Young Stan Edgar,4.0
2239,Homelander,8 Year Old Boy,4.0
2240,Mother’s Milk,Young Stan Edgar,4.0
2241,8 Year Old Boy,Billy Butcher,4.0
2243,A-Train,Gecko,4.0
2244,Dr. Park,Guard,4.0
2245,Dr. Park,Homelander,4.0
2246,Dr. Park,Ryan,4.0
2247,Dr. Park,Becca Butcher,4.0
2248,Young Stan Edgar,Crimson Countess,4.0
2250,Billy Butcher,Young Stan Edgar,4.0
2256,Billy Butcher,Hostess,4.0
2259,Young Stan Edgar,Grace Mallory,4.0
2264,Tommy,Crimson Countess,4.0
2265,Desean,Reporter,4.0
2266,Supersonic,Stage Manager,4.0
2267,A-Train,Makeup Artist,4.0
2268,Madelyn Stillwell,Believe Attendee,4.0
2270,Nathan,Reporter,4.0
2271,Believe Attendee,Homelander,4.0
2272,Stage Manager,Choreographer,4.0
2273,Pastor John,Believe Attendee,4.0
2274,Crimson Countess,Stan Edgar,4.0
2278,Khamari,Reporter,4.0
2281,AAW Leader,Makeup Artist,4.0
2284,Fake Stillwell,Seth Rogen,4.0
2285,Arana,Reporter,4.0
2287,Reporter,Dana Whitmyre,4.0
2290,A-Train,Reporter,4.0
2296,Fake Butcher,Seth Rogen,4.0
2298,Secretary of Defense Robert A. Singer,Black Noir,4.0
2299,Billy Butcher,Young Black Noir,4.0
2301,Hughie Campbell,Young Black Noir,4.0
2302,Black Noir,Rafiq,4.0
2303,Grace Mallory,Young Black Noir,4.0
2306,Black Noir,Naqib,4.0
2307,Black Noir,Doug Friedman,4.0
2308,Billy Butcher,Pastor,4.0
2309,Fake Butcher,Fake Stillwell,4.0
2311,Mason,Mayor of Baltimore,4.0
2312,Mother’s Milk,Young Black Noir,4.0
2319,Mother’s Milk,Pastor,4.0
2322,Excited Teen's Friend,A-Train,4.0
2323,Excited Teen,Excited Teen's Friend,4.0
2324,A-Train,Excited Teen,4.0
2325,Excited Teen,Security Guard,4.0
2327,Security Guard,Excited Teen's Friend,4.0
2329,Mother’s Milk,Robin,4.0
2331,Self,A-Train,4.0
2333,Agent Bill Pearson,Adam Bourke,4.0
2336,Donna January,Robin,4.0
2337,Hughie Campbell,Assistant,4.0
2342,Monique,A-Train,4.0
2343,Monique,Supersonic,4.0
2345,Monique,Ashley Barrett,4.0
2347,Monique,Stan Edgar,4.0
2348,Heckler,Monique,4.0
2349,Monique,Also Ashley,4.0
2350,Blue Hawk,Reporter,4.0
2351,Blue Hawk,Dana Whitmyre,4.0
2352,Homelander,Monique,4.0
2353,Blue Hawk,Arana,4.0
2354,Blue Hawk,Khamari,4.0
2356,Blue Hawk,Desean,4.0
2366,Starlight,Monique,4.0
2370,Barbara,Cassandra,4.0
2371,Young Gunpowder,Young Black Noir,4.0
2372,Jamie,Desperate Thief #1,4.0
2373,The Deep,Barbara,4.0
2375,Desperate Thief #1,Benjy,4.0
2377,Desperate Thief #1,Queen Maeve,4.0
2380,Homelander,Ruby,4.0
2384,Sheriff Ed Flanagan,Teacher,4.0
2386,Choreographer,Homelander,4.0
2388,Sheriff Ed Flanagan,Homelander,4.0
2390,Doctor,Billy Butcher,4.0
2393,Teacher,Homelander,4.0
2394,Swatto,Mother’s Milk,4.0
2395,Swatto,Billy Butcher,4.0
2396,Swatto,Grace Mallory,4.0
2401,Vanessa,Starlight,4.0
2403,Swatto,Hughie Campbell,4.0
2404,Swatto,Young Black Noir,4.0
2408,Teddy,Starlight,4.0
2415,Starlight,Teacher,4.0
2424,Board Member,Ashley Barrett,3.0
2425,Emotional Donor,Mother’s Milk,3.0
2426,A-Train,Tiny Hero,3.0
2427,Tiny Hero's Female Friend,A-Train,3.0
2434,A-Train,Ezekiel,3.0
2436,Tessa,The Deep,3.0
2438,Billy Butcher,Supersonic,3.0
2440,The Deep,Tommy,3.0
2442,Maverick,The Deep,3.0
2443,Daniel Prestia,Victoria Neuman,3.0
2446,Madelyn Stillwell,Doppelganger,3.0
2447,Queen Maeve,Doppelganger,3.0
2448,Chris Hansen,Fake Stillwell,3.0
2449,Chris Hansen,Fake Butcher,3.0
2453,Chris Hansen,Seth Rogen,3.0
2456,Older Girl,Shy Boy,3.0
2457,Older Girl,Starlight,3.0
2458,Curious Girl,Older Girl,3.0
2459,Older Girl,Pastor John,3.0
2461,Older Girl,Ashley Barrett,3.0
2464,Older Girl,Donna January,3.0
2465,Starlight,Agent Bill Pearson,3.0
2467,Starlight,Ruby,3.0
2472,Bill Marsh,Board Member,3.0
2473,Board Member,Homelander,3.0
2474,Board Member,Pat Willis,3.0
2478,Sam Butcher,Sam,3.0
2479,Agent Bill Pearson,Stormfront,3.0
2481,Ruby,Stormfront,3.0
2483,Young Lenny,Sam Butcher,3.0
2484,Young Black Noir,Mindstorm,3.0
2486,Tessa,Hughie Campbell,3.0
2488,Young Butcher,Sam Butcher,3.0
2490,Sam Butcher,Headmaster,3.0
2494,Cassandra,Also Ashley,3.0
2495,Daniel Prestia,Leanne Franklin,3.0
2496,Victoria Neuman,Leanne Franklin,3.0
2497,Cassandra,Silver Kincaid,3.0
2498,Seth Reed,Cassandra,3.0
2499,Cassandra,Moonshadow,3.0
2501,Evan Lambert,Cassandra,3.0
2508,Queen Maeve,Cassandra,3.0
2509,Vought Executive,Victoria Neuman,3.0
2510,Black Noir,Cassandra,3.0
2512,Leanne Franklin,Vought Executive,3.0
2515,Vought Executive,Daniel Prestia,3.0
2518,Secretary of Defense Robert A. Singer,Homelander,3.0
2519,Homelander,Lamar Bishop,3.0
2520,Billy Butcher,Big Game,3.0
2521,Secretary of Defense Robert A. Singer,Lamar Bishop,3.0
2522,Secretary of Defense Robert A. Singer,Ashley Barrett,3.0
2523,Katie Couric,Cassandra,3.0
2524,Katie Couric,The Deep,3.0
2525,Big Game,Tiny Hero,3.0
2526,Moonshadow,Billy Butcher,3.0
2527,Billy Zane,The Deep,3.0
2528,A-Train,Random dude,3.0
2529,Blue Hawk,Starlight,3.0
2530,A-Train,Big Game,3.0
2532,Big Game,Ezekiel,3.0
2533,Big Game,Tiny Hero's Female Friend,3.0
2534,Big Game,Security Guard,3.0
2536,Big Game,Hughie Campbell,3.0
2543,Billy Butcher,Silver Kincaid,3.0
2554,Ashley Barrett,Lamar Bishop,3.0
2556,Starlight,Frat Boy,3.0
2557,Cool Girl,The Female,3.0
2558,Frat Boy,Sorority Girl,3.0
2561,Cassandra (movie version),The Deep,3.0
2562,Cassandra (movie version),Billy Zane,3.0
2563,Sorority Girl,Second Frat Boy,3.0
2566,Vought Executive,Vought Executive,3.0
2567,Sorority Girl,Starlight,3.0
2568,Soldier Boy,Grace Mallory,3.0
2570,Starlight,Second Frat Boy,3.0
2574,Frat Boy,Second Frat Boy,3.0
2577,Becca Butcher,8 Year Old Boy,3.0
2578,U.S.S.R. Officer,Soldier Boy,3.0
2590,Colby's Dr.,Colby,3.0
2591,Colby's Dad,Colby's Dr.,3.0
2593,Colby's Dr.,A-Train,3.0
2596,Cameron Coleman,Supersonic,3.0
2597,Cameron Coleman,Silver Kincaid,3.0
2598,Cameron Coleman,Moonshadow,3.0
2600,Anika,Madelyn Stillwell,3.0
2604,Vought Executive,Stan Edgar,3.0
2607,Stan Edgar,Leanne Franklin,3.0
2608,Stan Edgar,Daniel Prestia,3.0
2610,Starlight,Anika,3.0
2614,Todd,Ryan,3.0
2615,Vought Executive,Randall Skilton,3.0
2616,Leanne Franklin,Randall Skilton,3.0
2618,Randall Skilton,Victoria Neuman,3.0
2620,Randall Skilton,Daniel Prestia,3.0
2625,Stan Edgar,Randall Skilton,3.0
2628,VNN Interviewer,Hughie Campbell,2.0
2629,Mother’s Milk,Termite,2.0
2632,Starlight,Termite,2.0
2634,A-Train,Eagle the Archer,2.0
2635,Lamar Bishop,Janine,2.0
2636,Lamar Bishop,Todd,2.0
2637,Mother’s Milk,Fake Stillwell,2.0
2638,Mother’s Milk,Fake Butcher,2.0
2639,Mother’s Milk,Chris Hansen,2.0
2640,VNN News Anchor,Mother’s Milk,2.0
2643,Todd,Secretary of Defense Robert A. Singer,2.0
2645,Billy Zane,Frenchie,2.0
2646,Lamar Bishop,Victoria Neuman,2.0
2649,Homelander,Hometeamer,2.0
2651,Secretary of Defense Robert A. Singer,Janine,2.0
2652,Billy Butcher,Termite,2.0
2654,Janine,Ashley Barrett,2.0
2662,Nurse,Connie Butcher,2.0
2663,The Female,Connie Butcher,2.0
2665,Homelander,Mayor of Baltimore,2.0
2666,Connie Butcher,Mother’s Milk,2.0
2667,Connie Butcher,Hughie Campbell,2.0
2670,Connie Butcher,Grace Mallory,2.0
2671,Connie Butcher,Frenchie,2.0
2673,Drummer Boy,Supersonic,2.0
2674,Drummer Boy,Silver Kincaid,2.0
2675,Moonshadow,Drummer Boy,2.0
2676,Mason,Homelander,2.0
2680,The Deep,Drummer Boy,2.0
2684,Drummer Boy,Cameron Coleman,2.0
2688,Vought Executive,Veronica Barassi,2.0
2689,Stan Edgar,Veronica Barassi,2.0
2690,Victoria Neuman,Veronica Barassi,2.0
2691,Starlight,Secretary of Defense Robert A. Singer,2.0
2692,Black Noir,Two Birds,2.0
2693,Veronica Barassi,Randall Skilton,2.0
2697,Veronica Barassi,Leanne Franklin,2.0
2701,Veronica Barassi,Daniel Prestia,2.0
2706,Black Noir,Courtenay,2.0
2707,The Deep,Hailey Miller,2.0
2708,Hughie Campbell,Chris Hansen,2.0
2709,Soldier Boy,VNN News Anchor,2.0
2710,Fake Stillwell,Hughie Campbell,2.0
2711,Fake Stillwell,The Female,2.0
2712,Fake Butcher,Hughie Campbell,2.0
2713,Fake Butcher,The Female,2.0
2715,Chris Hansen,The Female,2.0
2716,Cassandra,Hailey Miller,2.0
2718,Black Noir,Reality Editor,2.0
2719,Hughie Campbell,Seth Rogen,2.0
2720,The Deep,Reality Editor,2.0
2721,Victoria Neuman,Ivy,2.0
2722,Hughie Campbell,Young Nadia,2.0
2725,Seth Rogen,The Female,2.0
2726,The Deep,Courtenay,2.0
2727,A-Train,Reality Editor,2.0
2729,Homelander,Reality Editor,2.0
2732,Reality Editor,Queen Maeve,2.0
2734,Courtenay,Reality Editor,2.0
2737,Homelander,Courtenay,2.0
2750,Hughie Campbell,Male Supe,2.0
2752,Ivy,Billy Butcher,2.0
2753,Black Noir,Victoria Neuman,2.0
2754,Black Noir,Random dude,2.0
2759,Tommy,Hughie Campbell,2.0
2760,Seafood Guy,The Deep,2.0
2762,Adam Bourke,Hughie Campbell,2.0
2765,Todd,Victoria Neuman,2.0
2768,Victoria Neuman,Janine,2.0
2773,Entertainment Reporter,A-Train,2.0
2776,Cameron Coleman,Queen Maeve,2.0
2777,Jimmy Fallon,Translucent,2.0
2780,Naqib,Syrian Boy,2.0
2781,Female News Anchor,A-Train,2.0
2782,Syrian Boy,Rafiq,2.0
2784,Syrian Boy,Secretary of Defense Robert A. Singer,2.0
2785,Syrian Boy,Stan Edgar,2.0
2787,Syrian Boy,Doug Friedman,2.0
2789,Young Stan Edgar,Young Gunpowder,2.0
2790,Black Noir,Syrian Boy,2.0
2792,Young Gunpowder,Billy Butcher,2.0
2793,Grace Mallory,Young Gunpowder,2.0
2797,Mother’s Milk,Young Gunpowder,2.0
2798,Young Gunpowder,Hughie Campbell,2.0
2803,Adam Bourke,Reporter,2.0
2806,Robin,A-Train,2.0
2808,A-Train,Gary,2.0
2814,Pastor,Hughie Campbell,2.0
2816,Frenchie,Chris Hansen,2.0
2817,Homelander,Jamie,2.0
2818,Frenchie,Seth Rogen,2.0
2819,Benjy,Homelander,2.0
2821,Frenchie,Fake Stillwell,2.0
2822,Frenchie,Fake Butcher,2.0
2824,Homelander,Desperate Thief #1,2.0
2830,Tommy,U.S.S.R. Officer,2.0
2832,Stormfront,Female News Anchor,2.0
2834,Tessa,Young Stan Edgar,2.0
2836,U.S.S.R. Officer,Tessa,2.0
2838,Anika,Ashley Barrett,2.0
2840,Hometeamer,Starlighter,2.0
2841,ESPN Interviewer,Commercial Son,2.0
2842,Ruby,Ashley Barrett,2.0
2843,Shockwave,Commercial Son,2.0
2848,Homelander,Entertainment Reporter,1.0
2849,Soldier Boy,Janine,1.0
2850,Young Grace,Claudio,1.0
2852,Claudio,Young Stan Edgar,1.0
2853,Billy Butcher,Entertainment Reporter,1.0
2857,Homelander,Two Birds,1.0
2858,Black Noir,Woman from accounting,1.0
2861,VNN News Anchor,Janine,1.0
2865,Tina,Mother’s Milk,1.0
2866,Commercial Mom,Commercial Son,1.0
2867,Tina,Shockwave,1.0
2868,Tina,Tara Reid,1.0
2869,Tina,Guy,1.0
2870,Tina,Photographer,1.0
2871,Tina,Jersey Girl,1.0
2872,Tina,Cleo,1.0
2873,Starlight,Janine,1.0
2875,Commercial Mom,Shockwave,1.0
2876,Mother’s Milk,Anika,1.0
2877,Anika,Barbara,1.0
2878,Starlight,Susan Raynor,1.0
2881,Billy Zane,Tina,1.0
2883,Tina,Mesmer,1.0
2885,Tina,Young Mesmer,1.0
2889,Super Villain,Homelander,1.0
2891,Black Noir,Tina,1.0
2892,Seth Rogen,Tina,1.0
2895,ESPN Interviewer,Commercial Mom,1.0
2906,Queen Maeve,Anika,1.0
2907,Michel,Billy Butcher,1.0
2908,Starlighter,Starlight,1.0
2909,Hometeamer,Starlight,1.0
2911,Frenchie,Victor,1.0
2912,Frenchie,Vladislav,1.0
2913,Frenchie,Michel,1.0
2914,Grace Mallory,Donna January,1.0
2916,Clerk,Hughie Campbell,1.0
2924,Kenji Miyashiro,Vought Executive,1.0
2926,Kenji Miyashiro,Daniel Prestia,1.0
2927,Kenji Miyashiro,Leanne Franklin,1.0
2928,Kenji Miyashiro,Victoria Neuman,1.0
2929,Veronica Barassi,Kenji Miyashiro,1.0
2930,Randall Skilton,Kenji Miyashiro,1.0
2931,Female Bartender,Doppelganger,1.0
2934,Swatto,Claudio,1.0
2936,Frenchie,Moe,1.0
2939,Security Guard,Victoria Neuman,1.0
2941,Random dude,Security Guard,1.0
2950,Commercial Son,The Deep,1.0
2951,MM's Dad,Mother’s Milk,1.0
2952,Young Marvin,MM's Dad,1.0
2953,Young Marvin,Soldier Boy,1.0
2954,Young Marvin,Mother’s Milk,1.0
2957,Mother’s Milk,Mindstorm,1.0
2958,MM's Dad,Soldier Boy,1.0
2959,Shockwave,The Deep,1.0
2960,ESPN Interviewer,The Deep,1.0
2963,Victoria Neuman,Soldier Boy,1.0
2964,The Deep,Commercial Mom,1.0
2970,Mindstorm,Young Stan Edgar,1.0
2971,Grace Mallory,Mindstorm,1.0
2976,Ivy,Simon,1.0
2977,Todd,Soldier Boy,1.0
2978,Tessa,Male Supe,1.0
2979,Billy Butcher,Tessa,1.0
2980,Secretary of Defense Robert A. Singer,Frenchie,1.0
2981,Homelander,Starlighter,1.0
2982,The Female,Secretary of Defense Robert A. Singer,1.0
2983,Stormfront,Also Ashley,1.0
2984,Tommy,Male Supe,1.0
2986,Tessa,Grace Mallory,1.0
2988,Nathan,Doctor,1.0
2989,Tessa,Mother’s Milk,1.0
2992,Victoria Neuman,Simon,1.0
2994,Simon,Hughie Campbell,1.0
2995,Carol,A-Train,1.0
2996,VNN News Anchor,Todd,1.0
3008,Anika,Cassandra,1.0
3009,The Deep,Anika,1.0
3012,MM's Grandpa,Young Marvin,1.0
3013,Two Birds,Young Black Noir,1.0
3014,The Female,Entertainment Reporter,1.0
3015,Tommy,Two Birds,1.0
3016,MM's Grandpa,Soldier Boy,1.0
3018,Popclaw,Trevor,1.0
3019,Two Birds,Buster Beaver,1.0
3020,Billy Zane,Trevor,1.0
3021,Mother’s Milk,Secretary of Defense Robert A. Singer,1.0
3022,Mother’s Milk,MM's Grandpa,1.0
3023,Two Birds,Stan Edgar,1.0
3024,MM's Grandpa,MM's Dad,1.0
3025,A-Train,Trevor,1.0
3027,Soldier Boy,Two Birds,1.0
3029,Trevor,Frenchie,1.0
3032,Trevor,Madelyn Stillwell,1.0
3033,Trevor,Anika,1.0
3042,Two Birds,Crimson Countess,1.0
3047,Tessa,Two Birds,1.0
3050,Anika,The Female,1.0
3051,Becca Butcher,Michel,1.0
3052,Armed Soldier,Billy Butcher,1.0
3054,Anika,Billy Butcher,1.0
3058,Stan Edgar,Young Nadia,1.0
3060,Billy Butcher,Secretary of Defense Robert A. Singer,1.0
3062,Stormfront,Self,1.0
3064,Billy Butcher,Peter,1.0
3066,Hughie Campbell,U.S.S.R. Officer,1.0
3067,The Female,Peter,1.0
3068,Billy Butcher,Butcher's Mother,1.0
3072,Female from the Car,The Deep,1.0
3073,Commercial Son,Madelyn Stillwell,1.0
3074,Madelyn Stillwell,ESPN Interviewer,1.0
3075,Madelyn Stillwell,Shockwave,1.0
3076,Doctor,A-Train,1.0
3078,Madelyn Stillwell,Commercial Mom,1.0
3084,Mamasan Matron,The Female,1.0
3085,Starlight,Drummer Boy,1.0
3086,Cameron Coleman,Starlight,1.0
3087,Female News Anchor,Lamar Bishop,1.0
3089,Stan Edgar,Samantha,1.0
3090,Eagle the Archer,Black Noir,1.0
3096,Hughie Campbell,Reporter,1.0
3100,Guy,Homelander,1.0
3101,Guy,Ryan,1.0
3102,Valerie,Stormfront,1.0
3104,Myron,Stormfront,1.0
3108,Self,Stan Edgar,1.0
3109,Jimmy Fallon,Hughie Campbell,1.0
3110,Ashley Barrett,Self,1.0
3114,Female News Anchor,The Female,0.0
3115,Tessa,Claudio,0.0
3116,Frenchie,Female News Anchor,0.0
3117,Lamar Bishop,Soldier Boy,0.0
3118,Ashley Barrett,Soldier Boy,0.0
3119,Lamar Bishop,Frenchie,0.0
3120,Lamar Bishop,The Female,0.0
3121,Gills,Eagle the Archer,0.0
3122,Gills,Carol,0.0
3127,Secretary of Defense Robert A. Singer,Soldier Boy,0.0
3134,Cassandra,Self,0.0
3135,Hometeamer,Ryan,0.0
3136,Self,The Deep,0.0
3140,The Deep,Livewire,0.0
3141,Starlight,Livewire,0.0
3142,The Female,Yevgenny,0.0
3146,Livewire,Drummer Boy,0.0
3147,Livewire,Silver Kincaid,0.0
3148,Cameron Coleman,Livewire,0.0
3149,Livewire,Moonshadow,0.0
3150,Livewire,Supersonic,0.0
3156,Todd,Frenchie,0.0
3158,Lamar Bishop,Billy Butcher,0.0
3159,Hometeamer,Stormchaser,0.0
3160,Female News Anchor,Billy Butcher,0.0
3164,The Female,Little Nina,0.0
3166,Soldier Boy,Claudio,0.0
3167,Claudio,Young Black Noir,0.0
3170,Blue Hawk,Doctor,0.0
